,Client,Sex,Age,Tenure,Count_CA,Count_SA,Count_MF,Count_OVD,Count_CC,Count_CL,ActBal_CA,ActBal_SA,ActBal_MF,ActBal_OVD,ActBal_CC,ActBal_CL,VolumeCred,TransactionsCred,VolumeDeb,VolumeDebCash_Card,VolumeDebCashless_Card,VolumeDeb_PaymentOrder,TransactionsDeb,TransactionsDebCash_Card,TransactionsDebCashless_Card,TransactionsDeb_PaymentOrder,Dormant,Total_ActBal,Credit_Debit_Ratio
0,1,0.0,51,7,1,0.0,0.0,1.0,0.0,0.0,1333.8028571428572,0.0,0.0,0.0,0.0,0.0,1678.9464285714287,25.0,1891.3532142857143,250.0,283.0892857142857,247.60714285714286,50.0,3.0,12.0,9.0,False,1333.8028571428572,0.8872267692398863
1,2,1.0,43,152,1,1.0,0.0,0.0,0.0,0.0,110.76857142857143,13326.190357142857,0.0,0.0,0.0,0.0,708.1296428571429,4.0,386.4428571428571,307.14285714285717,38.40714285714286,35.714285714285715,6.0,2.0,2.0,1.0,False,13436.958928571428,1.827700859112865
2,3,1.0,17,140,1,0.0,1.0,0.0,0.0,0.0,482.65464285714285,0.0,107.25178571428572,0.0,0.0,0.0,1607.149642857143,4.0,123.75,0.0,112.85714285714286,10.678571428571429,3.0,0.0,1.0,1.0,False,589.9064285714286,12.882963068995133
3,4,1.0,24,153,1,1.0,0.0,0.0,1.0,0.0,1599.8407142857143,76.43714285714285,0.0,0.0,213.57989285714262,0.0,1872.4835714285714,9.0,3614.7475,714.2857142857143,526.0375,1963.1653571428571,41.0,6.0,12.0,13.0,False,1889.8577499999997,0.5178690081175666
4,5,0.0,58,200,1,1.0,0.0,0.0,0.0,0.0,5353.483928571428,8079.715714285715,0.0,0.0,0.0,0.0,4372.773928571429,23.0,5551.514607142851,157.14285714285714,670.8960714285713,1779.5714285714287,44.0,4.0,17.0,13.0,False,13433.199642857144,0.7875303782084998
5,6,0.0,24,19,1,0.0,0.0,0.0,0.0,1.0,4.297142857142857,0.0,0.0,0.0,0.0,1982.0710714285713,501.13142857142856,3.0,436.2857142857143,357.14285714285717,0.0,0.0,8.0,1.0,0.0,0.0,False,1986.3682142857142,1.1460045736687356
6,7,0.0,55,227,1,0.0,0.0,0.0,0.0,0.0,879.6850000000001,0.0,0.0,0.0,0.0,0.0,387.5046428571428,2.0,99.04392857142857,17.857142857142858,69.15107142857143,10.714285714285714,10.0,1.0,6.0,1.0,False,879.6850000000001,3.8733449234800426
7,8,0.0,64,30,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,199.05699999999894,0.0,0.0,649.1992857142858,25.0,654.8242857142858,253.57142857142858,6.982142857142857,0.0,42.0,10.0,1.0,0.0,False,199.05699999999894,0.989898208797217
8,9,0.0,33,182,1,0.0,0.0,1.0,0.0,0.0,510.1664285714286,0.0,0.0,0.0,0.0,0.0,527.175,6.0,415.4607142857143,53.57142857142857,0.0,170.71428571428572,10.0,1.0,0.0,3.0,False,510.1664285714286,1.2658456894407806
9,10,0.0,29,48,1,1.0,0.0,0.0,0.0,0.0,253.45892857142857,116.70928571428571,0.0,0.0,0.0,0.0,0.02464285714285714,1.0,0.8928571428571429,0.0,0.0,0.0,1.0,0.0,0.0,0.0,False,370.16821428571427,0.013018867924528301
10,11,1.0,30,40,1,1.0,0.0,0.0,0.0,0.0,709.9025,5.590357142857143,0.0,0.0,0.0,0.0,451.84785714285715,3.0,412.89285714285717,410.7142857142857,0.0,0.0,5.0,3.0,0.0,0.0,False,715.4928571428571,1.0917024764863232
11,12,1.0,45,155,1,0.0,0.0,0.0,0.0,0.0,1075.475,0.0,0.0,0.0,0.0,0.0,466.80035714285714,3.0,770.2510714285714,285.7142857142857,393.6082142857143,87.53571428571429,19.0,1.0,13.0,4.0,False,1075.475,0.6052508378085143
12,13,0.0,66,132,1,1.0,0.0,0.0,0.0,1.0,353.83964285714285,5.8325000000000005,0.0,0.0,0.0,2198.3581785714273,1201.107142857143,6.0,1232.7964285714286,339.2857142857143,173.43214285714288,312.5357142857143,41.0,6.0,17.0,10.0,False,2558.03032142857,0.9735051221114852
13,14,0.0,38,95,1,1.0,2.0,0.0,1.0,1.0,23.344642857142855,403.65928571428566,10443.760928571424,0.0,53.13214285714286,2198.3581785714273,4358.740714285715,13.0,2385.7867857142855,625.0,399.49392857142857,383.5357142857143,46.0,5.0,25.0,10.0,False,13122.255178571422,1.8261960977722143
14,15,1.0,26,174,1,0.0,0.0,0.0,0.0,0.0,1.5453571428571429,0.0,0.0,0.0,0.0,0.0,47.4375,2.0,20.803571428571427,0.0,17.410714285714285,0.0,2.0,0.0,1.0,0.0,False,1.5453571428571429,2.175675675675676
15,16,1.0,46,149,1,1.0,2.0,0.0,0.0,0.0,10015.924642857144,31.65857142857143,10443.760928571424,0.0,0.0,0.0,394.71250000000003,3.0,538.8714285714285,0.0,59.26428571428572,479.60714285714283,11.0,0.0,1.0,10.0,False,20491.34414285714,0.7311231510147921
16,17,0.0,64,150,1,0.0,0.0,0.0,0.0,0.0,338.77642857142854,0.0,0.0,0.0,0.0,0.0,1309.474642857143,4.0,5000.515357142857,803.5714285714286,168.92607142857145,2160.4502857142847,33.0,5.0,7.0,20.0,False,338.77642857142854,0.2618155797496516
17,18,1.0,25,41,1,0.0,0.0,0.0,1.0,0.0,935.9632142857143,0.0,0.0,0.0,213.57989285714262,0.0,2585.3571428571427,8.0,1869.4778571428571,703.5714285714286,670.8960714285713,266.42857142857144,44.0,6.0,22.0,7.0,False,1149.543107142857,1.382190723608062
18,19,0.0,46,94,1,1.0,0.0,0.0,0.0,0.0,10632.118249999996,20632.692642857142,0.0,0.0,0.0,0.0,812.49,3.0,148.4467857142857,0.0,0.0,144.12535714285715,5.0,0.0,0.0,4.0,False,31264.81089285714,5.436650886244745
19,20,1.0,27,181,1,1.0,0.0,0.0,0.0,0.0,2194.472142857143,18302.0625,0.0,0.0,0.0,0.0,452.6175,4.0,221.42857142857142,107.14285714285714,10.714285714285714,103.57142857142857,7.0,3.0,1.0,3.0,False,20496.534642857143,2.034889210019268
20,21,0.0,24,60,1,1.0,0.0,0.0,0.0,0.0,434.7425,20632.692642857142,0.0,0.0,0.0,0.0,409.8507142857143,3.0,505.6535714285714,178.57142857142858,259.18928571428575,64.28571428571429,22.0,4.0,14.0,3.0,False,21067.435142857143,0.80893679112947
21,22,1.0,54,0,1,0.0,0.0,0.0,0.0,0.0,2492.1467857142857,0.0,0.0,0.0,0.0,0.0,2423.411071428571,7.0,3587.0782142857142,857.1428571428571,466.84000000000003,1273.107142857143,29.0,4.0,12.0,9.0,False,2492.1467857142857,0.67540642279756
22,23,1.0,4,160,1,2.0,4.0,1.0,0.0,0.0,22.967142857142857,20632.692642857142,868.7035714285714,199.05699999999894,0.0,0.0,559.1042857142858,4.0,945.715,107.14285714285714,529.3792857142857,309.1928571428571,33.0,1.0,26.0,6.0,False,21723.420357142855,0.5905729662192801
23,24,0.0,29,23,1,0.0,0.0,0.0,0.0,0.0,227.31107142857144,0.0,0.0,0.0,0.0,0.0,1141.0925,3.0,902.0678571428572,0.0,258.425,639.5357142857143,22.0,0.0,6.0,15.0,False,227.31107142857144,1.2635733748848172
24,25,0.0,97,181,1,0.0,0.0,0.0,0.0,0.0,79.38107142857143,0.0,0.0,0.0,0.0,0.0,813.67,4.0,325.21785714285716,121.42857142857143,202.53928571428574,0.0,19.0,5.0,13.0,0.0,False,79.38107142857143,2.494253402086686
25,26,0.0,27,24,1,0.0,1.0,1.0,0.0,0.0,1868.2342857142855,0.0,10443.760928571424,0.0,0.0,0.0,480.7871428571429,3.0,476.7142857142857,457.14285714285717,0.0,16.178571428571427,7.0,4.0,0.0,2.0,False,12311.99521428571,1.0064324162679426
26,27,1.0,62,181,1,0.0,0.0,1.0,0.0,0.0,1649.98,0.0,0.0,0.0,0.0,0.0,5960.831928571426,4.0,425.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,False,1649.98,13.992563212608982
27,28,0.0,18,28,1,0.0,0.0,0.0,0.0,0.0,14.606785714285715,0.0,0.0,0.0,0.0,0.0,926.7871428571428,2.0,979.5214285714285,0.0,19.2,565.3214285714286,9.0,0.0,1.0,6.0,False,14.606785714285715,0.9451982545730042
28,29,0.0,60,150,1,0.0,0.0,1.0,0.0,0.0,373.3542857142857,0.0,0.0,0.0,0.0,0.0,199.4935714285714,5.0,385.24357142857144,92.85714285714286,0.0,89.28571428571429,8.0,1.0,0.0,1.0,False,373.3542857142857,0.516496807159065
29,30,1.0,54,2,1,1.0,2.0,1.0,1.0,0.0,162.48250000000002,0.32392857142857145,0.0,199.05699999999894,26.38357142857143,0.0,4911.420357142857,10.0,3119.2717857142857,528.5714285714286,378.5357142857143,2128.636785714286,44.0,4.0,26.0,9.0,False,388.246999999999,1.5740360758409209
30,31,0.0,59,97,1,0.0,0.0,0.0,1.0,1.0,2336.8507142857143,0.0,0.0,0.0,213.57989285714262,679.5007142857143,1224.8635714285715,6.0,2816.695714285714,57.142857142857146,670.8960714285713,843.8278571428572,46.0,1.0,22.0,13.0,False,3229.931321428571,0.434703990646866
31,32,1.0,29,15,2,0.0,0.0,1.0,0.0,1.0,10632.118249999996,0.0,0.0,0.0,0.0,2198.3581785714273,2402.4021428571427,11.0,2303.747142857143,385.7142857142857,0.0,280.2857142857143,18.0,4.0,0.0,2.0,False,12830.476428571423,1.0423712424604372
32,33,1.0,71,150,1,0.0,0.0,0.0,0.0,0.0,10632.118249999996,0.0,0.0,0.0,0.0,0.0,730.5721428571429,5.0,635.842857142857,139.28571428571428,56.73571428571428,436.42857142857144,13.0,2.0,4.0,6.0,False,10632.118249999996,1.1471780434733847
33,34,0.0,48,104,1,1.0,3.0,1.0,1.0,0.0,188.60857142857142,1343.2589285714287,0.0,0.0,213.57989285714262,0.0,5960.831928571426,11.0,5551.514607142851,857.1428571428571,670.8960714285713,2160.4502857142847,54.0,6.0,33.0,11.0,False,1745.4473928571426,1.07353737005992
34,35,1.0,66,31,1,0.0,0.0,1.0,0.0,0.0,14.863214285714287,0.0,0.0,0.0,0.0,0.0,0.039642857142857146,1.0,698.2428571428571,107.14285714285714,290.49285714285713,245.78571428571428,21.0,6.0,9.0,4.0,False,14.863214285714287,5.6693975115941736e-05
